RSSI,ACC_X,ACC_Y,ACC_Z,Gyro_X,Gyro_Y,Gyro_Z
-36,4.99,1.76,6.98,-0.01,-0.04,0.01
-35,4.99,1.76,6.98,-0.01,-0.04,0.01
-37,4.98,1.77,6.98,-0.02,-0.04,0.01
-36,4.98,1.76,6.98,-0.02,-0.04,0.01
-36,4.99,1.77,6.98,-0.02,-0.04,0.01
-35,4.99,1.76,6.97,-0.02,-0.04,0.01
-37,5,1.75,6.95,-0.02,-0.04,0.01
-37,4.98,1.76,6.96,-0.02,-0.04,0.01
-35,4.98,1.75,6.98,-0.02,-0.04,0.01
-37,4.97,1.74,6.97,-0.02,-0.04,0.01
-38,4.97,1.75,6.96,-0.02,-0.04,0.01
-36,4.97,1.74,6.94,-0.02,-0.04,0.01
-35,4.97,1.75,6.95,-0.02,-0.04,0.01
-38,4.96,1.73,6.96,-0.02,-0.04,0
-36,4.96,1.74,6.94,-0.02,-0.04,0
-35,4.96,1.74,6.95,-0.02,-0.04,0
-38,4.96,1.75,6.96,-0.02,-0.04,0
-34,4.97,1.75,6.96,-0.02,-0.04,0
-36,4.97,1.74,6.95,-0.02,-0.04,0
-39,4.97,1.74,6.94,-0.02,-0.04,0
-36,4.95,1.72,6.96,-0.02,-0.04,0
-37,4.94,1.71,6.97,-0.03,-0.04,0
-37,4.95,1.71,6.97,-0.03,-0.04,0
-37,4.93,1.7,6.96,-0.03,-0.04,0
-39,4.93,1.71,6.96,-0.03,-0.04,0
-37,4.94,1.7,6.97,-0.03,-0.04,0
-35,4.94,1.71,6.96,-0.03,-0.04,0
-36,4.93,1.7,6.96,-0.02,-0.04,0.01
-37,4.94,1.7,6.96,-0.02,-0.04,0.01
-38,4.96,1.7,6.97,-0.02,-0.04,0.01
-35,4.96,1.69,6.97,-0.02,-0.04,0.01
-37,4.96,1.7,6.98,-0.02,-0.04,0.01
-37,4.96,1.7,6.98,-0.02,-0.04,0.01
-36,4.97,1.7,6.98,-0.02,-0.04,0.01
-38,4.97,1.68,6.97,-0.02,-0.04,0.01
-38,4.97,1.69,6.97,-0.02,-0.04,0.01
-37,4.96,1.69,6.96,-0.02,-0.04,0.01
-36,4.95,1.69,6.97,-0.02,-0.04,0.01
-37,4.95,1.7,6.99,-0.02,-0.04,0.01
-37,4.96,1.7,6.99,-0.02,-0.04,0.01
-34,4.97,1.7,6.98,-0.02,-0.04,0.01
